meeting_date,item_id,title,topic_unofficial,vote_tally,meeting_url
2025-02-24,34929,Consent Agenda,Consent Agenda,7 Aye,https://viennavadata.org/meeting/2025-02-24.html
2025-02-24,34932,Request approval of Memorandum of Understanding (MOU) between Vienna Little League and Town of Vienna for use of Yeonas Park during the Independence Day Celebration and Fireworks Show.,Parks & Recreation,,https://viennavadata.org/meeting/2025-02-24.html
2025-02-24,34935,Request approval of Memorandum of Understanding (MOU) between the Town of Vienna and Vienna Business Association for 2025 Halloween Parade,"Community, Arts & Events",,https://viennavadata.org/meeting/2025-02-24.html
2025-02-24,34936,Request approval of memorandum of understanding (MOU) between the Optimist Club of Greater Vienna and Town of Vienna for use of the Vienna Community Center parking lot for the 2025 Vienna Farmers Market,Parks & Recreation,,https://viennavadata.org/meeting/2025-02-24.html
2025-02-24,34930,Regular Business,Procedural,,https://viennavadata.org/meeting/2025-02-24.html
2025-02-24,34937,Intent to Adopt Amendments to Chapter 18 of the Town Code,Town Code & Ordinances,7 Aye,https://viennavadata.org/meeting/2025-02-24.html
2025-02-24,34953,Town Council Top Priorities For 2025,Governance & Administration,7 Aye,https://viennavadata.org/meeting/2025-02-24.html
2025-02-24,34940,Meeting Adjournment,Procedural,7 Aye,https://viennavadata.org/meeting/2025-02-24.html
2025-02-24,34941,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2025-02-24.html
2025-02-03,34786,Invocation:,Procedural,,https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34787,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34788,Roll Call,Procedural,,https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34789,Acceptance of the Minutes: None,Minutes,,https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34790,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34792,Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34793,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34794,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34795,Report of the Mayor,Procedural,,https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34796,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34805,Closed Session Report,Procedural,,https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34808,Closed Session Certification Motion,Procedural,"6 Aye, 1 Absent",https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34798,Public Hearings,Procedural,,https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34800,Regular Business,Procedural,,https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34801,7:45 p.m. - 8:15 p.m. - Set Public Hearing to Issue Vehicle Replacement Program Debt and Notice of Intent to Adopt an Ordinance,Town Code & Ordinances,"6 Aye, 1 Absent",https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34802,"8:15 p.m.- 8:45 p.m. - Request for approval of a final plat for the lot consolidation of parcels 0391 12 0049A and 0391 12 0050 at 244 Old Courthouse Road, NE, into a single lot in the Residential - Single-Unit, 16,000 sq. ft. (RS-16) zoning district.","Land Use, Zoning & Development","6 Aye, 1 Absent",https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34806,Second Closed Session Report,Procedural,,https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34809,Second Closed Session Certification Motion,Procedural,"6 Aye, 1 Absent",https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34803,Meeting Adjournment,Procedural,"6 Aye, 1 Absent",https://viennavadata.org/meeting/2025-02-03.html
2025-02-03,34804,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2025-02-03.html
2025-01-27,34749,"Invocation: Reverend Johnny Kurcina, Christ Church Vienna",Procedural,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34750,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34751,Roll Call,Procedural,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34752,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34766,"Acceptance of the Regular Council Meeting Minutes of December 9, 2024, the Work Session Minutes of December 9, 2024, December 16, 2024, and the Regular Council Meeting Minutes and Work Session minutes of January 13, 2025",Minutes,"1 Absent, 6 Aye",https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34753,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34755,Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34769,Proclamation for Vienna Youth Soccer Day,Proclamations & Recognitions,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34756,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34757,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34758,Report of the Mayor,Procedural,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34759,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34760,Closed Session Report,Procedural,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34761,Public Hearings,Procedural,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34767,Public Hearing on the Necessity of Public Improvements within the Windover Heights Historic District adjacent to and/or on the property located at 348 Windover Avenue NW.,"Land Use, Zoning & Development","1 Absent, 6 Aye",https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34764,Public Hearing on Proposed Amendments to Chapter 18 - Zoning and Subdivision,"Land Use, Zoning & Development","1 Absent, 6 Aye",https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34763,Regular Business,Procedural,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34765,"Amendment to Town Code Chapter 6, Section 6-33 Levy, to Increase the Meals Tax Rate from 3% to 4% for a Period of 10 Years","Budget, Taxes & Finance","1 Absent, 6 Aye",https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34768,Request approval of a Memorandum of Understanding (MOU) between the Town of Vienna and First Baptist Church for the 2025 Juneteenth and Liberty Amendments Month (LAM) Kickoff Parade.,"Community, Arts & Events","1 Absent, 6 Aye",https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34773,Town Council Top Priorities for 2025,Governance & Administration,"1 Absent, 6 Aye",https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34770,Meeting Adjournment,Procedural,"1 Absent, 6 Aye",https://viennavadata.org/meeting/2025-01-27.html
2025-01-27,34771,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2025-01-27.html
2025-01-13,34695,Rollcall,Procedural,,https://viennavadata.org/meeting/2025-01-13.html
2025-01-13,34664,Closed Session Report,Procedural,,https://viennavadata.org/meeting/2025-01-13.html
2025-01-13,34663,Closed Session Report,Procedural,7 Aye,https://viennavadata.org/meeting/2025-01-13.html
2025-01-13,34622,Regular Business,Procedural,,https://viennavadata.org/meeting/2025-01-13.html
2025-01-13,34623,"Request to Approve Final Plats for Two Lot Consolidations at 130 Wilmar Place NW - 1) Lots 61  and 62, and 2) Lots 63, 64, 65, and Part of 66, in the RS-10, Residential - Single-Unit, 10,000 sq. ft. Zone.","Land Use, Zoning & Development",7 Aye,https://viennavadata.org/meeting/2025-01-13.html
2025-01-13,34624,Meeting Adjournment,Procedural,,https://viennavadata.org/meeting/2025-01-13.html
2025-01-06,34557,"Invocation: Corky Eddins, Assistant Pastor, Christ Church Vienna",Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34558,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34559,Roll Call,Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34560,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34577,"Acceptance of the Regular Council Meeting Minutes of December 9, 2024 and the Work Session Minutes of December 16, 2024.",Minutes,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34561,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34563,Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34579,Proclamation for Vienna Youth Soccer Day,Proclamations & Recognitions,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34564,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34565,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34566,Report of the Mayor,Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34567,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34568,Closed Session Report,Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34580,Closed Session Report,Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34569,Public Hearings,Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34573,Public Hearing on the Necessity of Public Improvements within the Windover Heights Historic District adjacent to and/or on the property located at 348 Windover Avenue NW.,"Land Use, Zoning & Development",,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34571,Regular Business,Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34572,"Request to Approve Final Plats for Two Lot Consolidations at 130 Wilmar Place NW - 1) Lots 61  and 62, and 2) Lots 63, 64, 65, and Part of 66, in the RS-10, Residential - Single-Unit, 10,000 sq. ft. Zone.","Land Use, Zoning & Development",,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34574,Meeting Adjournment,Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2025-01-06,34575,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2025-01-06.html
2024-12-09,34407,"Invocation: Mercury Payton, Town Manager",Procedural,,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34408,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34409,Roll Call,Procedural,,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34410,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34428,"Acceptance of the Regular Council Meeting Minutes of November 18, 2024",Minutes,"6 Aye, 1 Absent",https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34411,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34413,7:45 p.m. - 8:00 p.m. - Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34423,7:45 p.m. - 8:00 p.m. - Presentation of the 2024 Annual Comprehensive Financial Report (ACFR),"Budget, Taxes & Finance",,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34414,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34415,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34416,Report of the Mayor,Procedural,,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34417,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34418,Closed Session Report,Procedural,"6 Aye, 1 Absent",https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34420,8:00 p.m. - 8:10 p.m. - Consent Agenda,Consent Agenda,"6 Aye, 1 Absent",https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34422,Request for approval to award construction of ARPA funded brick pattern asphalt stamped crosswalk at two intersections located on Maple Ave at East Street and Lawyers/Courthouse Roads.,"Streets, Sidewalks & Transportation",,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34427,Appointment of Treasurer,Appointments & Resignations,,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34421,8:10 p.m. - 9:10 p.m. - Regular Business,Procedural,,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34424,8:10 p.m. - 8:40 p.m. - Intent to Adopt Change to Meals Tax Collection Method for Certain Town-Sponsored Events.,"Budget, Taxes & Finance","1 Nay, 5 Aye, 1 Absent",https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34425,"8:40 p.m. - 8:55 p.m. - Intent to Adopt - Zoning Amendments to Allow Accessory Living Units, With Regulations","Land Use, Zoning & Development","6 Aye, 1 Absent",https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34426,"8:55 p.m. - 9:10 p.m. - Amendment to Town Code Chapter 6, Section 6-33 Levy, to Increase the Meals Tax Rate from 3% to 4% For a Period of 10 Years","Budget, Taxes & Finance","6 Aye, 1 Absent",https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34429,Meeting Adjournment,Procedural,"6 Aye, 1 Absent",https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34430,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2024-12-09.html
2024-12-09,34464,8:00 p.m. - 8:10 p.m. - Consent Agenda,Consent Agenda,"6 Aye, 1 Absent",https://viennavadata.org/meeting/2024-12-09.html
2024-11-18,34300,"Invocation: John Russo, Chairperson  of the Baha'i Community of the Town of Vienna",Procedural,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34301,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34302,Roll Call,Procedural,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34303,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34323,"Acceptance of the Regular Meeting Minutes of October 28, 2024, and the Work Session Minutes of October 21, 2024",Minutes,7 Aye,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34304,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34306,Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34318,2024 Halloween Parade Awards,Proclamations & Recognitions,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34307,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34308,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34309,Report of the Mayor,Procedural,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34310,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34311,Closed Session Report,Procedural,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34327,Closed Session Report,Procedural,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34312,Public Hearings,Procedural,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34320,Public Hearing to Change Meals Tax Collection for Town-Sponsored Special Events,"Budget, Taxes & Finance","1 Nay, 6 Aye",https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34319,Public Hearing to Approve a 10-Year Temporary Increase to Meals Taxes to Fund Aquatics Center,Parks & Recreation,7 Aye,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34322,"Public Hearing - Zoning Amendments to Allow Accessory Living Units, With Regulations","Land Use, Zoning & Development",7 Aye,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34321,Public hearing on the Town’s 2025 Legislative Agenda,Grants & Intergovernmental,"1 Nay, 6 Aye",https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34314,Regular Business,Procedural,,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34315,"Request approval to award construction of the ARPA funded Glyndon Street, NE, Drainage Project from Ayr Hill to Jean Place.","Water, Sewer & Stormwater",7 Aye,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34316,"Request Approval to Award Construction of the ARPA Funded Glen Avenue, SW, Sidewalk.","Streets, Sidewalks & Transportation",7 Aye,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34317,"Request approval to award the construction of Drainage Improvements on Manvell Road, SE, from Park Street to Glyndon Street, SE","Water, Sewer & Stormwater",7 Aye,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34324,Meeting Adjournment,Procedural,7 Aye,https://viennavadata.org/meeting/2024-11-18.html
2024-11-18,34325,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2024-11-18.html
2024-10-28,34204,"Invocation: Pastor Brenda Burns, Vienna Assembly of God",Procedural,,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34205,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34206,Roll Call,Procedural,,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34207,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34229,"Acceptance of the Work Session Minutes of September 9, 2024, September 30, 2024 and the Regular Meeting Minutes of October 7, 2024",Minutes,7 Aye,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34208,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34210,Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34211,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34212,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34213,Report of the Mayor,Procedural,,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34214,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34215,Closed Session Report,Procedural,7 Aye,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34217,Consent Agenda,Consent Agenda,,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34226,"Approval request for spending $106,073 with Fairfield Enterprises, LLC, for building improvements to the Nutley Property Yard",Town Facilities & Property,7 Aye,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34222,"Request to Award Invitation For Bid (IFB) 25-02 to FLB Contractors, Inc. for Construction of the Culvert Replacement at the Intersection of Nutley St SW and Marshall Rd SW","Streets, Sidewalks & Transportation",,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34219,Request Approval to Amend Town Business Liaison Committee Resolution & Bylaws,Economic Development,,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34221,Set Public Hearing to Raise Meals Taxes,"Budget, Taxes & Finance",,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34218,Regular Business,Procedural,,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34224,"Request for approval of site plan modifications of requirements and landscape plan for proposed Vienna-Carter Library and parking garage located at 101 Maple Ave., E.","Land Use, Zoning & Development",,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34270,"Request approval of a sign that does not comply with the master sign plan for 144 Church St., NW, in the CS-O Church Street Vision Incentive Overlay zone.","Land Use, Zoning & Development",7 Aye,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34220,"Request approval to award construction of the ARPA funded Park Street, SE, sidewalk project from the W&OD Trail to Fardale Street, SE.",Parks & Recreation,7 Aye,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34225,"Request approval of a sign that does not comply with the master sign plan for 144 Church St., NW, in the CS-O Church Street Vision Incentive Overlay zone.","Land Use, Zoning & Development",,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34223,"Waive Town of Vienna Development Fees - New Library and Parking Garage, and Temporary Library Location In Vienna","Streets, Sidewalks & Transportation",7 Aye,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34227,Meeting Adjournment,Procedural,7 Aye,https://viennavadata.org/meeting/2024-10-28.html
2024-10-28,34228,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2024-10-28.html
2024-10-07,34063,"Invocation: Mercury Payton, Town Manager",Procedural,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34064,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34065,Roll Call,Procedural,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34066,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34082,"Acceptance of the Regular Council Meeting Minutes of September 23, 2024, and the Work session minutes of September 16, 2024",Minutes,7 Aye,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34067,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34069,Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34080,7:45 p.m. - 8:00 p.m. Proclamation for National Community Planning Month,Proclamations & Recognitions,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34070,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34071,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34072,Report of the Mayor,Procedural,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34073,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34074,Closed Session Report,Procedural,7 Aye,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34075,Public Hearings,Procedural,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34078,8:00 p.m. - 8:30 p.m. Public Hearing on 2024-25 Budget Supplemental Appropriations (Purchase Orders Rolled Forward and 2024 Surplus Carried Forward),"Budget, Taxes & Finance",7 Aye,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34077,Regular Business,Procedural,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34079,8:30 p.m. - 9:00 p.m. Request to set a Public Hearing Regarding Zoning Amendments and Refer to the Planning Commission for Consideration.,"Land Use, Zoning & Development",7 Aye,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34081,"9:00 p.m. - 9:30 p.m. Review Draft Accessory Living Unit Zoning Amendments, Make Edits, Refer Draft to Planning Commission, and Set a Public Hearing.","Land Use, Zoning & Development","1 Nay, 6 Aye",https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34083,Meeting Adjournment,Procedural,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34133,Meeting Adjournment,Procedural,7 Aye,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34086,Adjourn to Work Session,Procedural,,https://viennavadata.org/meeting/2024-10-07.html
2024-10-07,34084,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2024-10-07.html
2024-09-23,33928,"Invocation: Mr. John Russo, Baha'I Community of the Town of Vienna",Procedural,,https://viennavadata.org/meeting/2024-09-23.html
2024-09-23,33929,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2024-09-23.html
2024-09-23,33930,Roll Call,Procedural,,https://viennavadata.org/meeting/2024-09-23.html
2024-09-23,33931,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2024-09-23.html
2024-09-23,33953,"Acceptance of the Regular Council Meeting Minutes of September 9, 2024.",Minutes,7 Aye,https://viennavadata.org/meeting/2024-09-23.html
