meeting_date,body,case,title
2024-11-20,Board of Zoning Appeals,BZA-24121,"Request for approval of variances from Section 18-219 Residential - Single-Unit, 10,000 sq. ft. Zone (RS-10), Buildable Lot Dimensions, of the Town of Vienna Zoning Code, to create a new non-conforming lot from existing non-conforming parcels, known as 0384 03 0061 (Lots 61 & 62), to construct a single-unit dwelling on the newly created lot, on a portion of the parcels known as 130 Wilmar Place NW, in the RS-10, Single-Unit Detached Residential zone. The proposed non-conforming lot will not meet the following Buildable Lot Dimensions: 1) Lot area, 2) Lot Width at Front Building Line, and 3) Lot Width at Midline."
2024-11-13,Planning Commission,PC24-250,Proposed Lot Consolidations - 130 Wilmar Place NW
2024-11-13,Planning Commission,PC24-249,"Public Hearing - Zoning Amendments to Allow Accessory Living Units, With Regulations"
2024-11-13,Planning Commission,24-4754,Acceptance of the Meeting Minutes
2024-11-12,Board of Architectural Review Work Session,BARWS24-087,245 Maple Ave W_Vienna Market_Work Session
2024-11-07,Board of Architectural Review Work Session,BARWS24-086,"Outdoor Lighting Regulations - BAR Meeting with Clanton & Associates

You are also invited to take the online lighting code survey here: <https://www.surveymonkey.com/r/ViennaOutdoorLighting>
now through February 2025.

Questions? Call the Planning and Zoning Department at (703) 255-6341."
2024-10-29,Planning Commission Work Session,PCWS24-137,Accessory Living Units Work Session 2
2024-10-17,Board of Architectural Review,BAR24-546,101 Maple Ave E - Vienna Carter Library - Signs
2024-10-17,Board of Architectural Review,BAR24-545,101 Maple Ave E - Patrick Henry Library - Exterior Modification
2024-10-17,Board of Architectural Review,BAR24-544,131 Church St NW - Café de Vienna - Outdoor Dining
2024-10-17,Board of Architectural Review,BAR24-543,130 Park St SE - INOVA - Sign
2024-10-17,Board of Architectural Review,BAR24-542,1131 Moorefield Hill Ct SW - Solar Panels
2024-10-09,Planning Commission,PC24-248,"Recommendations to the Town Council regarding 1) proposed modifications of requirements for front and rear yard setbacks, loading space, and tree canopy coverage and 2) the proposed landscape plans for Patrick Henry Library, located at 101 Maple Ave E."
2024-10-09,Planning Commission,PC24-247,"Determination of whether the project to build a new library and parking garage at 101 Maple Avenue East conforms with the adopted Comprehensive Plan, as required by §15.2-2232 of the Code of Virginia."
2024-10-09,Planning Commission,24-4714,"Acceptance of the July 10, 2024, and August 28, 2024, Work Session Action Minutes."
2024-10-02,Board of Architectural Review Work Session,BARWS24-085,101 Maple Ave E - Patrick Henry Library - 4th Work Session
2024-10-02,Board of Architectural Review,BAR24-541,302 Maple Ave W - Frame Coffee Roasters - Outdoor Seating - Special Meeting
2024-09-25,Planning Commission Work Session,PCWS24-135,Comprehensive Plan: Key Policy Topics
2024-09-19,Board of Architectural Review,BAR24-540,Outdoor Dining Discussion
2024-09-19,Board of Architectural Review,BAR24-539,513 Maple Ave W - Lash and Spa By Neda - Sign
2024-09-19,Board of Architectural Review,BAR24-538,205 Maple Ave E - Call Your Mother - Exterior Modification
2024-09-19,Board of Architectural Review,BAR24-537,205 Maple Ave E - Call Your Mother - Sign
2024-09-19,Board of Architectural Review,BAR24-536,139 Church St NW - Bognet Properties - Exterior Modification - Revision
2024-09-19,Board of Architectural Review,BAR24-535,139 Church St NW - Bognet Properties - Sign
2024-09-19,Board of Architectural Review,BAR24-534,146 Church St NE - Sanctuary Interior Design - Sign
2024-09-19,Board of Architectural Review,BAR24-533,543 Beulah Rd NE - Church of the Holy Comforter - Solar Panels
2024-09-19,Board of Architectural Review,BAR24-532,1131 Moorefield Hill CT S.W - Solar Panels
2024-09-18,Board of Zoning Appeals,BZA-24120,"Request to the Board of Zoning Appeals to hear an appeal of the Zoning Administrators Determination in accordance with the requirements of Section 18-820 Appeals of Zoning Administrator Decision., of the Town of Vienna Zoning and Subdivision Ordinance, affecting property located at 430, 440, 444 Maple Ave W, Vienna, Virginia, tax map numbers: 0383 02 0139, 0383 02 0140, 0383 02 0141, in the AW Avenue West zoning district. Filed by Sara Mariska, of Odin Feldman Pittleman, on behalf of Vienna Development Associates LLC, property owner."
2024-09-18,Board of Zoning Appeals,BZA-24119,"Request approval by the Board of Zoning Appeals for a conditional use permit per Section 18-304 of the Vienna Town Code for a Family Day Home to care for up to twelve (12) children at 304 Jade Court NW, in the 12.5 zoning district. Application filed by Hesham Ibrahim."
2024-09-11,Planning Commission,PC24-246,"Request for a recommendation to the Town Council on a final plat for a proposed lot consolidation of two lots into one at 841 Ninovan Rd SE in the RS-10 Residential - Single-Unit, 10,000 sq. ft. zone."
2024-09-11,Planning Commission,PC24-245,"Request for a recommendation to Town Council for approval of a lot line adjustment for lot 0382 02 0046, located at 300 Glyndon St NE, in the PR Parks and Recreation zoning district."
2024-09-10,Windover Heights Board of Review,WHRB24-010,Background Information on Windover Heights Board of Review
2024-09-10,Windover Heights Board of Review,WHRB24-009,Windover Heights Board of Review Annual Report for Fiscal Year 2024
2024-09-10,Windover Heights Board of Review,WHRB24-008,Memo to the Planning Commission for Recommendations for the Comprehensive Plan Update
2024-09-04,Board of Architectural Review Work Session,BARWS24-083,Navy Federal Credit Uinon - 1007 Electric Ave SE & 900 Follin NE - Exterior Modifications
2024-08-28,Planning Commission Work Session,PCWS24-134,Comprehensive Plan Update
2024-08-28,Planning Commission Work Session,PCWS24-133,Glyndon St NE Drainage Project
2024-08-15,Board of Architectural Review,BAR24-531,BAR 2024 Annual Report
2024-08-15,Board of Architectural Review,BAR24-530,127 - 133 Park St NE - Vienna Courts (The Grove on Park) - Revision
2024-08-15,Board of Architectural Review,BAR24-529,600 Mill St NE- Town of Vienna - Exterior Modification
2024-08-15,Board of Architectural Review,BAR24-528,302 Maple Ave W - Frame Coffee Roasters - Outdoor Seating
2024-08-15,Board of Architectural Review,BAR24-527,235 Maple Ave W - Bank of America - Exterior Modifications
2024-08-15,Board of Architectural Review,BAR24-526,160 Maple Ave E - Seray - Sign
2024-08-15,Board of Architectural Review,BAR24-525,112 Courthouse Rd SW - LC Massage - Sign
2024-08-15,Board of Architectural Review,BAR24-524,301A Maple Ave W - Prime Custom Kitchen & Bath Remodeling - Sign
2024-08-15,Board of Architectural Review,BAR24-523,201 Maple Ave E - Citibank - Exterior Modification - Revision
2024-07-17,Board of Zoning Appeals,BZA-24117,"**DEFERRED** Request to hear an appeal of the Zoning Administrators Determination in accordance with the requirements of Section 18-820 Appeals of Zoning Administrator Decision., of the Town of Vienna Zoning and Subdivision Ordinance, affecting property located at 430, 440, 444 Maple Ave W, Vienna, Virginia, tax map numbers: 0383 02 0139, 0383 02 0140, 0383 02 0141, in the AW - Avenue West zoning district. Filed by Sara Mariska, of Odin Feldman Pittleman, on behalf of Vienna Development Associates LLC, property owner. 

The decision being appealed is the issuance of a Notice of Violation by the Zoning Administrator, case number 24-208, for a violation of Section 18-836 Site Plan Review. The Zoning Administrator determined that the existing condition of the property did not meet the requirements of the site plan approved in June of 2021."
2024-07-17,Board of Zoning Appeals,BZA-24116,"Request for the renewal of a conditional use permit for a Family Day Home, per Section 18-824 Conditional Use Permit, of the Town of Vienna Zoning and Subdivision Ordinance, for the care of up to twelve (12) children at 305 Jade Court NW, in the 12.5 zoning district."
2024-07-17,Board of Zoning Appeals,BZA-24115,"Request for approval of a conditional use permit to allow Outdoor Dining, per Section 18-824 Conditional Use Permit, of the Town of Vienna Zoning and Subdivision Ordinance, for over twelve (12) seats at a restaurant located at 160 Maple Avenue West, in the Avenue Center (AC) zoning district."
2024-07-17,Board of Zoning Appeals,BZA-24114,"Request for approval of a conditional use permit to allow Specialized Instruction, per Section 18-824 Conditional Use Permit, of the Town of Vienna Zoning and Subdivision Ordinance, to operate a driver’s education program at 450 Maple Avenue East, Suite 302, in the Avenue East (AE) zoning district."
2024-07-17,Board of Zoning Appeals,BZA-24113,"Request for approval of a conditional use permit for Specialized Instruction, per Section 18-824 Conditional Use Permit, of the Town of Vienna Zoning and Subdivision Ordinance, for sports training at 514 and 516 Mill St NE, in the Mill District."
2024-07-17,Board of Zoning Appeals,BZA-24112,"Request for approval to the Board of Zoning Appeals of a conditional use permit for a Private Indoor Recreation Facility, per Section 18-824 Conditional Use Permit, of the Town of Vienna Zoning and Subdivision Ordinance, to operate a dance hall for tango dancing, at 303 C Mill Street NE, in the Mill District."
2024-07-17,Board of Zoning Appeals,BZA-24111,"Request approval for a conditional use permit for a Family Day Home, per Section 18-824 Conditional Use Permit, of the Town of Vienna Zoning and Subdivision Ordinance, to care for up to twelve (12) children at 430 Old Court House Rd NE, in the RS-12.5 zoning district."
2024-07-17,Board of Zoning Appeals,BZA-24110,"Request for approval of a variance from Section 18-407.3 Swimming Pools and Outdoor Hot Tubs., of the Town of Vienna Zoning Code, to construct a swimming pool in the rear yard of an existing single-family dwelling located at 514 Spring St SE, in the RS-10, Single-Family Detached Residential zone. The Zoning Code states the front edge of the swimming pool shall be no less than five feet from an extension of the rear wall line of the principal building on the adjacent lots. If the variance is approved, the proposed pool will be set closer than five feet from, and encroaching into, the extension of the rear wall line of the adjacent lots."
2024-07-10,Planning Commission,PCWS24-132,Discussion on Proposed Rezoning and Redevelopment of 128 Nutley St NW
2024-07-10,Planning Commission Work Session,PCWS24-132,Discussion on Proposed Rezoning and Redevelopment of 128 Nutley St NW
2024-07-10,Planning Commission,PC24-244,"Request for recommendation for Conditional Use Permit to the Board of Zoning Appeals for a family day home to accommodate up to a maximum of twelve (12) children at 305 Jade Court NW, in the RS-12.5, single-family residential zoning district. Application filed by Zeinab Salem."
2024-07-10,Planning Commission,PC24-243,"Request for recommendation for conditional use permit to the Board of Zoning Appeals for specialized instruction, at 450 Maple Ave E, Suite 302, in the Avenue East (AE) zoning district. Application filed by Issam Mohamed."
2024-07-10,Planning Commission,PC24-242,"Request for Recommendation for conditional use permit to the Board of Zoning Appeals to allow outdoor dining for over twelve (12) seats at 160 Maple Avenue West, in the AC, Avenue Center zoning district. Application filed by Stephen Kenney."
2024-07-10,Planning Commission,PC24-240,Selection of Planning Commission Member of Tree Advocacy Committee
2024-06-26,Planning Commission,PC24-239,"Request for recommendation to the Board of Zoning Appeals for a conditional use permit for a private indoor recreation facility, at 303 C Mill Street NE, in the Mill District. Application filed by Melody Yazdani, of Melody Yazdani Studios LLC, business owner."
2024-06-20,Board of Architectural Review,BAR24-522,543 Beulah Rd NE -Holy Comforter Church - Exterior Modification
2024-06-20,Board of Architectural Review,BAR24-521,160 Maple Ave W - Seray Restaurant - Outdoor Dining 13+ seats
2024-06-20,Board of Architectural Review,BAR24-520,136A Maple Ave W - Vienna Shopping Center - Exterior Modification
2024-06-20,Board of Architectural Review,BAR24-519,262 Cedar Ln Suite H - Suchi Koji - Outdoor Dining
2024-06-20,Board of Architectural Review,BAR24-518,415 Windover Ave NW - Green Hedges - Exterior Modification - Fence
2024-06-20,Board of Architectural Review,BAR24-517,208A - Dominion Rd NE - Commonwealth - Mural Revision
2024-06-20,Board of Architectural Review,BAR24-516,226 Maple Ave W - Vienna Thai & Bar - Sign
2024-06-20,Board of Architectural Review,BAR24-515,311 Maple Ave W - Proshto Endo Dental - Tenant Panels
2024-06-20,Board of Architectural Review,BAR24-514,139A Church St NW - Van Smiles - Sign
2024-06-12,Planning Commission,PC24-238,"Recommendation to the Town Council on a final plat for a proposed lot consolidation of two lots into one at 103 Saint Andrews Drive NE in the RS-12.5 Single-Family Detached Residential zone. Application filed by Mir Zohori, of M&Z Construction and Consulting LLC, property owner."
2024-06-12,Planning Commission,PC24-237,"Request for recommendation for Conditional Use Permit to the Board of Zoning Appeals for a family day home to accommodate up to a maximum of twelve (12) children at 430 Old Courthouse Rd NE, in the RS-12.5, single-family residential zoning district. Application filed by Bahareh Ranjbar, owner of Happy Hive Daycare."
2024-06-12,Planning Commission,PC24-236,"Request for recommendation for conditional use permit to the Board of Zoning Appeals for specialized instruction, at 514 and 516 Mill St NE, in the Mill District. Application filed by Renee Pippin, of Pitcher’s Edge LLC, business owner."
2024-06-11,Board of Architectural Review Work Session,BARWS24-081,"120 Cherry St SE & 301 King St Alexandria, VA - Outdoor Dining Design Plan - Work Session"
2024-06-05,Board of Zoning Appeals,BZA-24100,"**Deferred** Request for approval of a variance from Section 18-219 Residential - Single-Unit, 10,000 sq. ft. Zone (RS-10), Building Placement Standards, Rear Yard, of the Town of Vienna Zoning Code, to construct a covered deck, attached to an existing non-conforming single-family dwelling located at 409 East Street NE, in the RS-10, Single-Family Detached Residential zone. The Zoning Code requires that all structures in the Single-Family Residential zoning districts maintain a setback of 35’ from the rear property line. The proposed porch encroaches 19’-2.5” into the setback leaving a setback of 15’-9.5” from the rear property line."
2024-06-05,Board of Zoning Appeals,BZA-24099,"Request for approval of a variance from Section 18-219 Residential - Single-Unit, 10,000 sq. ft. Zone (RS-10), Building Placement Standards, Rear Yard, of the Town of Vienna Zoning Code, to construct a covered deck, attached to an existing single-family dwelling located at 231 Talahi Road SE, in the RS-10, Single-Family Detached Residential zone. The Zoning Code requires that all structures in the Single-Family Residential zoning districts maintain a setback of 35’ from the rear property line. The proposed porch encroaches 8.4’ into the setback leaving a setback of 26.6’ from the rear property line."
2024-06-05,Board of Zoning Appeals,BZA-24098,"Request for approval of a conditional use permit, as required by Section 18-304 of the Vienna Town Code, for a Family Day Home care of up to twelve (12) children at 108 Yeonas Circle SE, in the RS-10, Single-Family Residential zoning district. Application filed by Tania Giviani-Faris and Kami Faris, owners."
2024-06-05,Board of Zoning Appeals,BZA-24097,"Request for approval of a conditional use permit, as required by Section 18-304 of the Vienna Town Code, for a Family Day Home care of up to twelve (12) children at 100 Battle Street SE, in the RS-10, Single-Family Residential zoning district. Application filed by Anastasia Abraham."
2024-06-04,Windover Heights Board of Review,WHRB24-008,Memo to the Planning Commission for Recommendations for the Comprehensive Plan Update
2024-06-04,Windover Heights Board of Review,WHRB24-007,"Request for a Certificate of Appropriateness for New Single Family Detached Dwelling located at 288 Windover Avenue  NW, per Sec. 18-280.4., Docket No WHBR- 1150891-23, in the RS-16, single-family detached residential zoning district; filed by Patrick Ohlhorst of Cloud IX Homes, on behalf of the property owners, Mary & Michael Parks."
2024-05-22,Planning Commission,PC24-235,"Request for recommendation for Conditional Use Permit to the Board of Zoning Appeals for a family day home to accommodate up to a maximum of twelve (12) children at 304 Jade Court NW, in the RS-12.5, single-family residential zoning district. Application filed by Hesham Ibrahim, owner of Adam Home Daycare. Property owned by Choi Dae Woong."
2024-05-16,Board of Architectural Review,BAR24-513,Discussion
2024-05-16,Board of Architectural Review,BAR24-512,144 Maple Ave E - Town of Vienna - Exterior Modification - Temporary Pop-Up Garden.
2024-05-16,Board of Architectural Review,BAR24-511,127 Center St S - Town of Vienna & Capital Bikeshare - Exterior Modification
2024-05-16,Board of Architectural Review,BAR24-510,415 Windover Ave NW- Green Hedges - Exterior Modification - Fence
2024-05-16,Board of Architectural Review,BAR24-509,501 Maple Ave W - Carnegie Diner - Signs & Exterior Modification
2024-05-16,Board of Architectural Review,BAR24-508,234 Maple Ave E - Sushi Oishii - Signs
2024-05-16,Board of Architectural Review,BAR24-507,180 Maple Ave W - Go Health - Signs
2024-05-16,Board of Architectural Review,BAR24-506,386 Maple Ave E - Vienna Gun & Gold - Sign
2024-05-16,Board of Architectural Review,BAR24-505,112 Courthouse Rd SW - LC Massage - Sign
2024-05-15,Board of Zoning Appeals,BZA-24098,"Request for approval of a conditional use permit, as required by Section 18-304 of the Vienna Town Code, for a Family Day Home care of up to twelve (12) children at 108 Yeonas Circle SE, in the RS-10, Single-Family Residential zoning district. Application filed by Tania Giviani-Faris and Kami Faris, owners."
2024-05-15,Board of Zoning Appeals,BZA-24097,"Request for approval of a conditional use permit, as required by Section 18-304 of the Vienna Town Code, for a Family Day Home care of up to twelve (12) children at 100 Battle Street SE, in the RS-10, Single-Family Residential zoning district. Application filed by Anastasia Abraham."
2024-05-08,Planning Commission Work Session,PCWS24-130,Comprehensive Plan Review - Subcommittee Discussion - Group 2: Transportation & Community Facilities
2024-05-07,Windover Heights Board of Review,WHRB24-006,Comprehensive Plan Update
2024-04-24,Planning Commission,PCWS24-129,Comprehensive Plan Review - Subcommittee Discussion - Group 2: Transportation & Community Facilities
2024-04-24,Planning Commission Work Session,PCWS24-129,Comprehensive Plan Review - Subcommittee Discussion - Group 2: Transportation & Community Facilities
2024-04-24,Planning Commission,PC24-234,"Request for recommendation for Conditional Use Permit to the Board of Zoning Appeals for a family day home to accommodate up to a maximum of twelve (12) children at 108 Yeonas Cir SE, in the RS-10, single-family residential zoning district. Application filed by Tania Giviani-Faris & Kambiz Faris, property owners and Happy Younglings Family Daycare owners."
2024-04-18,Board of Architectural Review,BAR24-504,125 Center St S - Dominion - Exterior Modification
2024-04-18,Board of Architectural Review,BAR24-503,401 Maple Ave E - Vienna Tobacco - Sign
2024-04-18,Board of Architectural Review,BAR24-502,386 Maple Ave E - Vienna Gun & Gold - Sign
2024-04-18,Board of Architectural Review,BAR24-501,541 Maple Ave W - Zburger - Sign
2024-04-18,Board of Architectural Review,BAR24-500,112 Courthouse Rd SW - LC Massage - Sign
2024-04-18,Board of Architectural Review,BAR24-499,1007 Electric Ave SE - Navy Federal Credit Union - Exterior Modification
2024-04-18,Board of Architectural Review,BAR24-498,131 Church St NW - Freeman House - Exterior Modification
2024-04-18,Board of Architectural Review,BAR24-497,501 Maple Ave W - Yellow Diner - Exterior Modification (Revision)
2024-04-18,Board of Architectural Review,BAR24-496,138 Maple Ave W - Stretch Zone - Sign
2024-04-18,Board of Architectural Review,BAR24-495,229 Maple Ave E - Mattress Warehouse - Sign
2024-04-18,Board of Architectural Review,BAR24-494,136 Maple Ave W - Pure Green - Sign
2024-04-10,Planning Commission,PC24-232,"Request for recommendation for conditional use permit to the Board of Zoning Appeals for a Family Day Home care of up to twelve (12) children at 100 Battle Street SE, in the RS-10, Single-Family Residential zoning district.  Application filed by Anastasia Abraham, owner."
2024-04-10,Planning Commission,PC24-231,Comprehensive Plan Update: Community Engagement and Data Development
2024-04-10,Planning Commission,PC24-230,Planning Commission Comments to Town Council on Parking Study Utilization and Recommendation Reports
2024-03-21,Board of Architectural Review,BAR24-493,Comprehensive Plan Update
2024-03-21,Board of Architectural Review,BAR24-491,305 Maple Ave W - Iris Building - Master Sign Plan
2024-03-21,Board of Architectural Review,BAR24-490,305 Maple Ave W - Iris Building - Exterior Modifications
2024-03-21,Board of Architectural Review,BAR24-489,124 Maple Ave W - Qamaria Coffee - Signs
2024-03-21,Board of Architectural Review,BAR24-488,440 Maple Ave E - Truist - Sign
2024-03-21,Board of Architectural Review,BAR24-487,203 Maple Ave W - Windover Square - Signs
2024-03-21,Board of Architectural Review,BAR24-486,210 Maple Ave W - Town of Vienna - Exterior Modification
2024-03-21,Board of Architectural Review,BAR24-485,317 Maple Ave W - Town of Vienna - Exterior Modification
2024-03-21,Board of Architectural Review,BAR24-484,136 Maple Ave W - Pure Green - Sign
2024-03-21,Board of Architectural Review,BAR24-483,115 Beulah Rd NE - Vienna Art Academy - Sign
2024-03-21,Board of Architectural Review,BAR24-482,115 Beulah Rd NE - New York School or Arts - Sign
2024-03-21,Board of Architectural Review,BAR24-481,201 Maple Ave E - Citibank - Sign
2024-03-21,Board of Architectural Review,BAR24-480,377 Maple Ave W - The Maple Room - Exterior Modification & Signs (Revisions)
2024-03-21,Board of Architectural Review,BAR24-479,300 Center St S- Bowman House - Exterior Modifications
2024-03-21,Board of Architectural Review,BAR24-478,400 Courthouse Rd SW- Meadow Ln Park- Exterior Modifications
2024-03-20,Board of Architectural Review Work Session,BARWS24-080,144 Maple Ave E - Town Green - Exterior Modifications
2024-03-13,Planning Commission,PC24-229,Staff Update on the Comprehensive Plan Update
2024-03-13,Planning Commission,PC24-228,Parking Study Utilization and Recommendation Reports
2024-03-05,Windover Heights Board of Review,WHRB24-005,Comprehensive Plan Update
2024-02-28,Planning Commission,PC24-227,"Work session on proposed amendments to conditional use permit and modifications of site plan requirements related to proposed changes to the site for Green Hedges School, located at 415 Windover Avenue NW in the RS-12.5 Single-Family Detached Residential Zoning District"
2024-02-23,Board of Architectural Review Work Session,BARWS24-079,Green Hedges School - 415 Windover Ave NW- Work Session - CUP Recommendation
2024-02-21,Board of Zoning Appeals,BZA-24096,"Request for approval of a variance from Section 18-218 Residential - Single-Unit, 12,500 sq. ft. Zone(RS-12.5), Front Yard Setback and Rear Yard Setback, of the Town of Vienna Zoning Code, to construct a garage addition encroaching 4’-8 ¼” in the required 30’ front yard for a setback of 25’-3 ¾”, and a kitchen addition extending 4’-4.5” into the required 35’ rear yard for a setback of 30’-7.5”, to an existing single-family dwelling located at 204 Owaissa Ct SE, in the RS-12.5, Single-Family Detached Residential zone. Filed by Kevin Wrabley, of Heltzel Architects, on behalf of Lauren & Trevor Begley, property owners."
2024-02-15,Board of Architectural Review,BAR24-477,Outdoor Dining Discussion
2024-02-15,Board of Architectural Review,BAR24-476,124 Park St SE - VSC Veterinary Surgical Center - Exterior Modification - Revision
2024-02-15,Board of Architectural Review,BAR24-475,111 Maple Ave W - PR Run & Walk - Signs
2024-02-15,Board of Architectural Review,BAR24-474,139 Church St NW - Bognet - Signs
2024-02-15,Board of Architectural Review,BAR24-473,400 - Courthouse Rd SW - Meadows Ln Park - Exterior Modifications
2024-02-06,Windover Heights Board of Review,WHRB24-004,"Request that the WHBR develop a recommendation to Town Council regarding the necessity of Public Improvements adjacent to the property located at 288 Windover Avenue NW, per Town Code Sec. 18-280.3., Docket No. PF-1150891-WHBR, in the RS-16, single-family detached residential zoning district; filed by Patrick Ohlhorst, of Cloud IX Homes, LLC, on behalf of the applicants, Michael & Mary Parks, property owners."
2024-01-24,Planning Commission,PC24-226,American Planning Association Membership for Planning Commission and Its Members
2024-01-24,Planning Commission,PC24-225,Parking Study Utilization and Recommendation Reports
2024-01-24,Planning Commission,PC24-224,Comprehensive Plan Update Proposed Process
2024-01-23,Windover Heights Board of Review,24-4239,Discussion of Public Improvement requirements on property adjacent to 288 Windover Avenue NW.
2024-01-18,Board of Architectural Review,BAR24-472,820 Follin Ln SE - Navy Federal Credit Union - Sign & Exterior Modification
2024-01-18,Board of Architectural Review,BAR24-471,203 Maple Ave W - Windover Square - Signs
2024-01-18,Board of Architectural Review,BAR24-470,146 Church St NE - Sanctuary Interior Designs- Sign
2024-01-18,Board of Architectural Review,BAR24-469,541 Maple Ave W - ZBurger - Sign
2024-01-18,Board of Architectural Review,BAR24-468,420 Center St S - Townhouse - Exterior Modification
2024-01-18,Board of Architectural Review,BAR24-467,212 Maple Ave E - Wells Fargo Bank - Signs
2024-01-17,Board of Zoning Appeals,BZA-24095,"Request for approval of a variance from Sec. 18-24. - Area requirements., E., Rear yard., of the Town of Vienna Zoning Code, to convert an existing carport to an enclosed garage attached to an existing non-conforming single-family dwelling located at 1001 Pruitt Court SW, in the RS-12.5, Single-Family Detached Residential zone. The Zoning Code requires that all structures in the Single-Family Residential zoning districts maintain a setback of 35’ from the rear property line. If the variance is approved, the proposed garage will retain the existing non-conforming setback of 28’ from the rear property line."
2024-01-10,Planning Commission,PC24-223,"Recommendation to the Town Council on a final plat for a proposed subdivision of two lots into three lots at 445 and 447 Courthouse Rd SW in the RS-16, Single-Family Detached Residential zone"
2024-01-09,Board of Architectural Review Work Session,BARWS24-078,400 Courthouse Road SW - Meadow Lane Park - Exterior Modifications - Work Session
2023-12-21,Board of Architectural Review,BAR23-466,212 Maple Ave E - Wells Fargo Bank - Signs
2023-12-21,Board of Architectural Review,BAR23-465,830 Follin Lane - NFCU - Exterior Modifications
2023-12-21,Board of Architectural Review,BAR23-464,100 Maple Ave E - Park Brothers LLC - Exterior Modifications
2023-12-21,Board of Architectural Review,BAR23-463,201 Maple Ave E - Citibank - Signs
2023-12-21,Board of Architectural Review,BAR23-462,201 Maple Ave E - Citibank - Exterior Modification
2023-12-21,Board of Architectural Review,BAR23-461,804 Tapawingo Rd SW - Townhouse - Exterior Modification
2023-12-21,Board of Architectural Review,BAR23-460,330 Maple Ave W - Thai Mom Restaurant - Sign
2023-12-21,Board of Architectural Review,BAR23-459,169 Glyndon Rd SE - The Virginian Restaurant - Sign
2023-12-21,Board of Architectural Review,BAR23-458,165 Glyndon Rd SE - Viet Aroma Asian Cuisine - Sign
2023-12-21,Board of Architectural Review,BAR23-457,163 Glyndon St SE - Café Renaissance - Sign
2023-12-21,Board of Architectural Review,BAR23-456,159 Glyndon St SE - Vienna Barbers - Sign
2023-12-21,Board of Architectural Review,BAR23-455,157 Glyndon St SE- H&R Block - Signs
2023-12-21,Board of Architectural Review,BAR23-454,153 Glyndon St SE - Natta Thai Cuisine - Sign
2023-12-21,Board of Architectural Review,BAR23-453,227 Maple Ave E - Jammin Java - Sign
2023-12-21,Board of Architectural Review,BAR23-452,513 Maple Ave W - Troika Gastronom- Signs
2023-12-13,Planning Commission,PC23-221,Discussion of the review process of the Comprehensive Plan
2023-12-13,Planning Commission,PC23-220,Consideration of the Draft 2023 Annual Report
2023-12-13,Planning Commission,PC23-219,Election of Planning Commission Officers and Planning Commission Member of the Windover Heights Board of Review
2023-12-05,Windover Heights Board of Review,23-4126,"Request for a recommendation to Town Council for the necessity of Public Improvements adjacent to property located at 288 Windover Avenue NW, per Town Code Sec. 18-280.3, Docket No. PF-1150891-WHBR, in the RS-16, single-family detached residential zoning district; filed by Patrick Ohlhorst, of Cloud IX Homes, LLC, on behalf of the property owners, Michael & Mary Parks."
2023-11-29,Board of Architectural Review Work Session,BARWS23-077,201 Maple Ave E- Citibank- Work Session
2023-11-16,Board of Architectural Review,BAR23-451,Decisions of the Board of Architectural Review
2023-11-16,Board of Architectural Review,BAR23-450,400 Courthouse Rd SW- Meadow Lane Park - Exterior Modifications
2023-11-16,Board of Architectural Review,BAR23-449,201 Maple Ave E - Citibank - Signs
2023-11-16,Board of Architectural Review,BAR23-448,201 Maple Ave E - Citibank - Exterior Modification
2023-11-16,Board of Architectural Review,BAR23-447,377 Maple Ave W - The Maple Room - Revisions ( Exterior Modifications & Signs)
2023-11-16,Board of Architectural Review,BAR23-446,374 Maple Ave W - Tango Pastry - Exterior Modification
2023-11-16,Board of Architectural Review,BAR23-445,128 Maple Ave W - Oh My Dak - Signs
2023-11-16,Board of Architectural Review,BAR23-444,318 Maple Ave W - StretchLAB-Signs
2023-11-16,Board of Architectural Review,BAR23-443,513 Maple Ave W - Dalisay Beauty - Signs
2023-11-08,Planning Commission,PC23-218,Review of Draft Memorandum to Town Council on Recommendations for Code Amendments to Preserve and Enhance Tree Canopy
2023-10-19,Board of Architectural Review,BAR23-442,127-133 Park St NE- Vienna Courts - Exterior Modification
2023-10-19,Board of Architectural Review,BAR23-441,131 Church St- NE - NOVA Parks - Exterior Modifications
2023-10-19,Board of Architectural Review,BAR23-440,400 Council Dr NE- Townhome - Exterior Modifications
2023-10-19,Board of Architectural Review,BAR23-439,377 Maple Ave W - The Maple Room - Exterior Modifications
2023-10-19,Board of Architectural Review,BAR23-438,144 Maple Ave W - Wag & Wash - Signs
2023-10-19,Board of Architectural Review,BAR23-437,233 Maple Ave E - Vivi Bubble Tea - Sign
2023-10-19,Board of Architectural Review,BAR23-436,448 Maple Ave E - The Mixx Delight - Sign
2023-10-19,Board of Architectural Review,BAR23-435,527 Maple Ave W - Norah Boutique - Signs
2023-10-19,Board of Architectural Review,BAR23-434,300 Center St S - Waters Field - Exterior Modification - Revision
2023-10-18,Board of Zoning Appeals,BZA-23094,"Request for approval of a variance from Sec. 18-33. - Area requirements. F., Lot Coverage., of the Town of Vienna Zoning Code, to construct an addition to an existing single-family dwelling located at 826 Glyndon Street SE, in the RS-10, Single-Family Detached Residential zone. The Zoning Code requires that lot coverage in the Single-Family Residential zoning districts not exceed 25% of the total lot size. If the variance is approved, the property will be approved to have a lot of coverage of 29.05%. Application filed by Hossain Kamyab, the property owner."
